 TITLE LINE 1 - Subbasin ID 8 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 2004 5.4450000000E+01 3.9204000000E+01 8.1675000000E-01 1.6335000000E-01 0.0000000000E+00 1.3612500000E+00 0.0000000000E+00 2.7225000000E-01 1.1979000000E+01 1.3612500000E-01 5.4000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2005 5.3850000000E+01 3.8772000000E+01 8.0775000000E-01 1.6155000000E-01 0.0000000000E+00 1.3462500000E+00 0.0000000000E+00 2.6925000000E-01 1.1847000000E+01 1.3462500000E-01 5.4000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2006 5.3400000000E+01 3.8448000000E+01 8.0100000000E-01 1.6020000000E-01 0.0000000000E+00 1.3350000000E+00 0.0000000000E+00 2.6700000000E-01 1.1748000000E+01 1.3350000000E-01 5.3000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2007 5.2800000000E+01 3.8016000000E+01 7.9200000000E-01 1.5840000000E-01 0.0000000000E+00 1.3200000000E+00 0.0000000000E+00 2.6400000000E-01 1.1616000000E+01 1.3200000000E-01 5.3000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2008 5.2200000000E+01 3.7584000000E+01 7.8300000000E-01 1.5660000000E-01 0.0000000000E+00 1.3050000000E+00 0.0000000000E+00 2.6100000000E-01 1.1484000000E+01 1.3050000000E-01 5.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2009 5.1600000000E+01 3.7152000000E+01 7.7400000000E-01 1.5480000000E-01 0.0000000000E+00 1.2900000000E+00 0.0000000000E+00 2.5800000000E-01 1.1352000000E+01 1.2900000000E-01 5.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2010 5.1000000000E+01 3.6720000000E+01 7.6500000000E-01 1.5300000000E-01 0.0000000000E+00 1.2750000000E+00 0.0000000000E+00 2.5500000000E-01 1.1220000000E+01 1.2750000000E-01 5.1000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2011 5.0550000000E+01 3.6396000000E+01 7.5825000000E-01 1.5165000000E-01 0.0000000000E+00 1.2637500000E+00 0.0000000000E+00 2.5275000000E-01 1.1121000000E+01 1.2637500000E-01 5.1000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2012 4.9800000000E+01 3.5856000000E+01 7.4700000000E-01 1.4940000000E-01 0.0000000000E+00 1.2450000000E+00 0.0000000000E+00 2.4900000000E-01 1.0956000000E+01 1.2450000000E-01 5.0000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2013 4.9200000000E+01 3.5424000000E+01 7.3800000000E-01 1.4760000000E-01 0.0000000000E+00 1.2300000000E+00 0.0000000000E+00 2.4600000000E-01 1.0824000000E+01 1.2300000000E-01 4.9000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2014 4.8600000000E+01 3.4992000000E+01 7.2900000000E-01 1.4580000000E-01 0.0000000000E+00 1.2150000000E+00 0.0000000000E+00 2.4300000000E-01 1.0692000000E+01 1.2150000000E-01 4.9000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2015 4.7850000000E+01 3.4452000000E+01 7.1775000000E-01 1.4355000000E-01 0.0000000000E+00 1.1962500000E+00 0.0000000000E+00 2.3925000000E-01 1.0527000000E+01 1.1962500000E-01 4.8000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2016 4.7250000000E+01 3.4020000000E+01 7.0875000000E-01 1.4175000000E-01 0.0000000000E+00 1.1812500000E+00 0.0000000000E+00 2.3625000000E-01 1.0395000000E+01 1.1812500000E-01 4.7000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2017 4.6650000000E+01 3.3588000000E+01 6.9975000000E-01 1.3995000000E-01 0.0000000000E+00 1.1662500000E+00 0.0000000000E+00 2.3325000000E-01 1.0263000000E+01 1.1662500000E-01 4.7000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2018 4.5900000000E+01 3.3048000000E+01 6.8850000000E-01 1.3770000000E-01 0.0000000000E+00 1.1475000000E+00 0.0000000000E+00 2.2950000000E-01 1.0098000000E+01 1.1475000000E-01 4.6000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2019 4.5300000000E+01 3.2616000000E+01 6.7950000000E-01 1.3590000000E-01 0.0000000000E+00 1.1325000000E+00 0.0000000000E+00 2.2650000000E-01 9.9660000000E+00 1.1325000000E-01 4.5000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2020 4.4700000000E+01 3.2184000000E+01 6.7050000000E-01 1.3410000000E-01 0.0000000000E+00 1.1175000000E+00 0.0000000000E+00 2.2350000000E-01 9.8340000000E+00 1.1175000000E-01 4.5000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
